AMAZON MAPREDUCE ANALYSIS — FULL RESULTS
Generated: 2026-04-08 17:45:22
═════════════════════════════════════════════════════════════════

═════════════════════════════════════════════════════════════════
  1 · CATEGORY-WISE AVERAGE RATINGS
═════════════════════════════════════════════════════════════════
  Category                                 Avg Rating  Bar
  Automotive                                5264.401  $    -32.95       3,421
  Furniture                                 5205.491  $    -98.37       5,608
  Camera Photo                              5014.285  $   -177.14       6,567
  Patio, Lawn Garden                        5007.068  $    -36.17       9,200
  Home Décor                                4889.854  $    -25.88       6,091
  Hardware                                  4826.663  $    -24.99       6,700
  Sewing, Craft Hobby                       4545.564  $    -19.35       6,463
  Women's Clothing                          4511.200  $    -32.09       9,525
  Men's Clothing                            4328.188  $    -41.05      10,099
  Cycling Equipment                         4099.266  $    -41.23      10,594
  Team Sports                               4085.854  $    -35.45       5,249
  Women's Shoes                             4037.556  $    -62.47      17,948
  Kitchen Storage Organization              3974.959  $    -26.54       3,551
  Outdoor Gear                              3920.655  $    -50.31       4,587
  Sport Specific Clothing                   3914.362  $    -33.78       7,563
  Building Supplies                         3820.265  $    -64.99       7,990
  Vehicle Electronics                       3596.993  $   -119.65       2,349
  Grocery                                   3542.271  $    -22.17      16,726
  Printer Accessories                       3539.400  $    -76.34       8,467
  Men's Shoes                               3520.032  $    -86.63      18,693
  Power Tools Hand Tools                    3423.758  $    -44.16       2,314
  STEM                                      3337.769  $    -44.86         280
  Household Cleaning Tools                  3311.970  $    -28.07       9,069
  International Food Market                 3237.989  $    -16.04         180
  Hand Tools                                3216.814  $    -34.48       8,216
  Cat Supplies                              3200.222  $    -29.91       6,980
  Bakeware                                  3191.609  $    -21.12       6,104
  Kitchen Cookware                          3088.499  $    -47.97       6,090
  Medical Supplies Equipment                3042.472  $    -50.57       6,079
  Musical Instruments, Stage Studio         3029.383  $    -71.09       9,063
  Baby                                      2973.744  $    -24.59      25,664
  Coffee, Tea Espresso                      2973.066  $    -46.95       4,252
  Action Sports                             2968.860  $    -58.55         991
  Baby Toddler Toys                         2966.988  $    -32.10       8,193
  Household Cleaning                        2935.499  $    -64.13       9,401
  Tableware                                 2933.780  $    -27.57       5,408
  Paper Plastic Household Supplies          2906.641  $    -36.65       7,292
  Game Hardware                             2888.706  $    -46.50       8,183
  Outdoor Recreation Apparel Equipment      2851.953  $    -39.03       1,485
  Janitorial Sanitation Supplies            2827.016  $    -66.97       7,661
  Arts Crafts Supplies                      2768.559  $    -20.14      10,472
  Luggage Travel Gear                       2726.598  $    -36.05      22,990
  Dolls Accessories                         2684.333  $    -31.76       9,434
  Games Accessories                         2635.465  $    -33.48       8,111
  Building Construction Toys                2607.618  $    -61.18       9,769
  Action Figures, Maquettes Busts           2595.567  $    -32.87       9,780
  Oral Hygiene Products                     2560.593  $    -25.58       6,737
  Automotive Care                           2494.340  $    -35.52       9,372
  Boating Watersports                       2463.570  $    -45.75       9,597
  Automotive Replacement Parts              2419.769  $    -48.46      11,442
  Camping Hiking Equipment                  2413.185  $    -47.54       3,447
  Hair Care                                 2402.256  $    -24.32      12,015
  Skin Care Products                        2401.374  $    -28.23      10,577
  Golf Equipment                            2377.158  $    -39.21       9,151
  Electrical Equipment                      2368.875  $    -27.53       6,719
  Snow Ice Sports                           2328.820  $    -48.31      11,078
  Occupational Health Safety Products       2310.178  $    -40.00      10,250
  Automotive Tools Equipment                2306.864  $    -67.22      10,526
  Vacuums Floor Care                        2296.751  $    -56.89       5,147
  Kitchen Knives Cutlery Accessories        2270.833  $    -58.15       5,923
  Kitchen Bath Fixtures                     2216.973  $    -91.68       5,260
  Power Hand Tools                          2179.681  $    -51.98       4,911
  Automotive Interior Accessories           2127.421  $    -51.16       8,403
  Networking Products                       2099.428  $   -176.24       8,430
  Outdoor Play Toys                         2097.717  $    -67.54       4,142
  Food Service Equipment Supplies           2045.298  $    -32.25       8,932
  Laundry Supplies                          2011.989  $    -26.96       9,484
  Garden Structures Germination Equipment   1991.687  $    -33.87       3,941
  Sporting Apparel                          1914.820  $    -29.57       6,068
  Bath Body                                 1852.137  $    -27.63      17,283
  Computer Cable Adapters                   1839.071  $    -22.70       9,204
  Hunting Fishing                           1813.416  $    -44.39      10,976
  Wellness                                  1800.246  $    -33.73       7,494
  Outdoor Cooking                           1797.642  $    -56.99       8,689
  Heating Cooling Air Quality               1785.081  $    -77.04       2,951
  Barware                                   1738.340  $    -27.13         976
  Makeup                                    1734.215  $    -18.90      10,642
  Commerical Door Products                  1729.460  $    -57.20         751
  Nursery Furniture, Bedding Décor          1722.054  $    -41.21       7,307
  RV Parts Accessories                      1715.541  $   -124.29       9,727
  Men's Accessories                         1711.028  $    -39.62      12,046
  Hardware Adhesives Sealers                1671.114  $    -36.11       8,059
  Martial Arts Combat Sports                1609.758  $    -51.31       6,714
  Shoe, Jewelry Watch Accessories           1583.155  $    -24.17      14,855
  Boys                                      1581.237  $    -32.31      18,545
  Diet Nutrition Products                   1580.401  $    -53.52       8,238
  Large Appliances                          1564.674  $    -58.99       5,854
  Girls                                     1510.488  $    -27.39      15,012
  Car Electronics Accessories               1471.530  $    -57.06       7,665
  Women's Accessories                       1459.443  $    -26.20      10,186
  Stationery Party Supplies                 1445.057  $    -17.86       7,974
  Women's Health Family Planning            1441.114  $    -29.85       8,535
  Novelty Special Use Clothing              1391.638  $    -29.59      13,625
  Pools, Hot Tubs Supplies                  1388.329  $    -94.26       8,588
  Irons, Steamers Accessories               1381.813  $    -66.83       6,223
  Automotive Exterior Accessories           1381.509  $    -63.41       7,077
  Perfume Cologne                           1373.518  $    -43.63      18,794
  Computer Audio Video Accessories          1324.710  $   -112.50       7,388
  Beauty Tools Accessories                  1313.787  $    -21.64      16,421
  Farming Urban Agriculture                 1275.711  $    -34.70       7,033
  Outdoor Lighting Products                 1269.714  $    -64.87       8,555
  Outdoor Décor                             1245.784  $    -29.34       7,128
  Shaving Hair Removal Products             1236.429  $    -35.05      17,938
  Nail Polish Nail Decoration Products      1235.543  $    -19.15      16,162
  Patio Furniture Accessories               1233.204  $   -107.43       8,243
  Stuffed Plush Animals                     1183.376  $    -26.79       9,033
  Vision Care Products                      1182.474  $    -57.51       9,095
  Satellite Television Equipment            1167.989  $    -57.45       6,555
  Hobbies                                   1142.604  $    -39.80       8,090
  Nails, Screws Fasteners                   1141.117  $    -20.67       8,000
  Sports Fan Shop                           1137.478  $    -30.77       7,889
  Artwork                                   1124.769  $    -25.69       6,029
  Outdoor Power Lawn Equipment              1106.021  $    -52.80       8,058
  Flashlights                               1090.676  $    -51.16       9,561
  Breakfast Cereal                          1079.325  $    -45.54       2,949
  Leisure Sports Game Room                  1067.850  $    -57.72       8,036
  Air Freshener Supplies                    1060.076  $    -41.17       4,315
  Vitamins, Minerals Supplements            1048.190  $    -33.16       6,650
  Water Coolers, Filters Cartridges         1038.763  $   -197.56       6,270
  Motorcycle Accessories Parts              1033.851  $    -52.80      13,035
  Toy Vehicles                              1024.372  $    -41.39       9,013
  Uniforms, Work Safety                     1001.911  $    -42.73      17,983
  Automotive Tires Wheels                    990.689  $    -69.48      10,071
  Dishwashing Supplies                       948.192  $    -17.12       9,294
  Computer Monitors                          929.432  $   -413.78       9,069
  Men's Jewelry                              923.417  $    -26.02      18,448
  Women's Jewelry                            900.983  $    -25.79      12,848
  Sex Sensuality Products                    872.756  $    -37.77       7,585
  Men's Watches                              866.124  $   -142.36      18,672
  Memory Card Accessories                    817.519  $    -21.92       9,104
  Luxury Beauty                              810.777  $    -48.55       1,408
  Door Hardware Locks                        804.192  $    -45.73       8,144
  Computer Monitor Accessories               767.625  $    -80.11       9,021
  Paint, Body Trim Products                  765.954  $    -64.10       7,832
  Bathroom Hardware                          737.312  $    -56.92       8,690
  USB Hubs                                   736.835  $    -80.26       8,974
  USB Gadgets                                733.383  $    -40.83       6,504
  Bikes, Scooters Ride-Ons                   723.907  $    -96.70       9,046
  Swimming Pool Outdoor Water Toys           722.055  $    -34.19       9,331
  Building Materials                         721.652  $    -65.29       6,111
  Computer Hard Drive Accessories            719.913  $    -34.72       7,112
  Filtration                                 687.790  $   -115.98       8,443
  Electronics Gadgets                        674.597  $    -85.15       8,471
  Backyard Birding                           655.227  $    -52.22       9,280
  Test, Measure Inspect                      645.873  $    -74.63       9,165
  Professional Medical Supplies              614.050  $    -51.27       8,847
  Household Batteries                        611.385  $    -33.79       8,071
  Blu-ray Players Recorders                  575.985  $   -261.51         644
  Oils Fluids                                566.456  $    -46.28       9,034
  Women's Handbags                           530.601  $    -74.87      16,146
  Lab Scientific Products                    515.215  $    -47.75       6,709
  Cabinet Hardware                           514.981  $    -27.33       7,933
  Cutting Tools                              496.752  $    -39.69       9,225
  Baby Child Care Products                   486.488  $    -25.32       8,524
  Abrasive Finishing Products                459.628  $    -39.28       8,644
  Laptop Computers                           430.821  $  -1140.98       8,911
  Furniture Hardware                         390.844  $    -45.68       8,969
  Material Handling                          382.089  $   -100.36       6,771
  Collectible Toys                           371.869  $    -40.87       9,302
  Hydraulics, Pneumatics Plumbing            358.927  $    -56.19       9,295
  Home Brewing Wine Making                   357.355  $   -156.94       6,250
  Kids' Slumber Bags                         348.775  $    -91.41       1,176
  Fasteners                                  329.457  $    -22.11       4,738
  3D Printing Scanning                       328.757  $    -71.48       9,469
  Tarps Tie-Downs                            316.487  $   -126.95       8,276
  Outdoor Heating Cooling                    308.993  $   -698.21       8,981
  Women's Watches                            299.565  $    -78.85      18,437
  Cigarette Lighters                         297.695  $   -325.50       8,538
  Home Audio Speakers                        285.900  $   -506.30       9,055
  Pest Control                               279.053  $    -46.30       7,951
  Industrial Hardware                        272.805  $    -39.38       5,788
  Digital Media Devices                      260.950  $   -177.57       4,210
  Toy Sports Equipment                       241.553  $    -24.41       8,061
  Locks Hasps                                218.411  $    -50.28       9,030
  Hardware Hooks                             217.136  $    -51.16       9,227
  Printers                                   165.192  $   -154.34       9,430
  Plants Seeds Bulbs                         163.318  $    -13.04       6,856
  Toy Foam Blasters Guns                     160.515  $    -34.56       4,005
  Desktop Computers                          153.033  $  -2186.11       9,141
  Window Hardware                            142.226  $    -49.36       9,082
  Material Transport Equipment               135.031  $   -550.12       9,515
  Shelf Brackets Supports                    129.560  $    -29.88       9,028
  Computer Uninterrupted Power Supply        121.606  $   -253.24       9,458
  Home Theatre Systems                       121.249  $   -104.71       3,809
  Outdoor Storage Housing                    118.069  $   -647.65       8,115
  Televisions                                118.057  $   -123.01       8,950
  Weather Thermometers                       116.026  $    -82.89       9,489
  Salon Spa Equipment                        115.468  $   -518.44      16,736
  Sandboxes Beach Toys                       103.753  $    -18.79       7,298
  Power Transmission Products                101.269  $    -29.85       9,451
  Ladders                                     99.190  $   -571.75       9,299
  Job Site Lighting                           98.888  $    -43.49       2,696
  Pogo Sticks Hopping Toys                    96.801  $    -88.40       1,323
  Industrial Materials                        93.209  $    -54.61       9,471
  Kids' Ball Pits Accessories                 93.125  $    -51.91         788
  Science Education Supplies                  88.108  $   -399.64       9,447
  Kids' Play Tents Tunnels                    86.552  $   -211.12       4,106
  Mailboxes Accessories                       84.170  $    -50.55       9,510
  Garage Door Hardware                        80.160  $    -62.27       9,435
  Audio/Video Receivers Amplifiers            77.580  $   -133.29       5,512
  Gate Hardware                               76.421  $   -186.65       9,451
  Fresh Flowers Indoor Plants                 75.135  $    -96.19       9,502
  Beanbag Foot Bags                           74.951  $    -40.41       3,025
  Bubble Blowing Products                     72.281  $    -26.84       6,541
  House Numbers, Plaques Signs                69.159  $    -35.45       9,475
  Tattooing Supplies                          66.646  $    -64.01      10,028
  Toy Gardening Equipment                     57.210  $    -26.33       2,312
  Child Safety Car Seats                      55.062  $    -30.05       6,961
  Indoor Insect Pest Control                  53.018  $   -159.10       4,037
  Kites Wind Spinners                         41.920  $   -186.92       9,544
  Television Projectors                       39.484  $   -379.16       8,709
  Baby Strollers                              38.786  $   -128.80       9,567
  Awards                                      37.477  $    -41.51       9,467
  DVD Players Recorders                       30.732  $   -106.00       9,523
  Computer Security Cables                    21.337  $    -49.70       1,672
  Play Sets Playground Equipment              21.328  $   -195.86       8,555
  Handmade Beauty Grooming Products           19.141  $   -147.61       1,343
  Handmade Stationery Party Supplies          17.359  $    -25.45       3,401
  Scaffolding Equipment                       15.225  $   -453.14       1,772
  Children's Outdoor Inflatable Bouncers Bouncy Castles    10.875  $  -3728.93       9,179
  Handmade Jewellery                          10.362  $    -79.26      18,550
  Handmade in Canada                           8.491  $    -52.05       6,108
  Handmade Toys Games                          7.220  $    -93.73       1,641
  Handmade Baby Products                       5.690  $    -68.76         790
  Handmade Home Décor                          3.624  $    -73.27      19,150
  Handmade Artwork                             3.506  $   -125.92      13,624
  Handmade Kitchen Dining                      2.644  $    -32.12      19,074
  Handmade Clothing, Shoes Accessories         1.688  $   -102.01      11,909
  Handmade Furniture                           0.155  $  -1293.08       2,216
  Handmade Bedding                             0.103  $    -65.47       1,383

═════════════════════════════════════════════════════════════════
  DONE — all 5 MapReduce passes complete.
═════════════════════════════════════════════════════════════════
